Date,Price,Open,High,Low,Change %,diff_1,label
2017-03-02,1.0507,1.0547,1.0551,1.0492,-0.38%,-0.0040000000000000036,1.0
2017-03-03,1.0623,1.0508,1.0626,1.0502,1.10%,0.011600000000000055,2.0
2017-03-06,1.0581,1.0617,1.0644,1.0575,-0.40%,-0.0041999999999999815,1.0
2017-03-07,1.0566,1.0583,1.0603,1.0557,-0.14%,-0.0015000000000000568,0.0
2017-03-08,1.0541,1.0566,1.0576,1.0535,-0.24%,-0.0024999999999999467,1.0
2017-03-09,1.0577,1.0541,1.0617,1.0525,0.34%,0.0036000000000000476,2.0
2017-03-10,1.0672,1.0577,1.0702,1.0572,0.90%,0.009499999999999842,2.0
2017-03-13,1.0654,1.0671,1.0715,1.065,-0.17%,-0.0018000000000000238,0.0
2017-03-14,1.0604,1.0655,1.0664,1.0599,-0.47%,-0.004999999999999893,1.0
2017-03-15,1.0735,1.0605,1.0743,1.0604,1.24%,0.01309999999999989,2.0
2017-03-16,1.0766,1.0734,1.0772,1.0706,0.29%,0.0031000000000001027,2.0
2017-03-17,1.0738,1.0765,1.0784,1.0728,-0.26%,-0.0027999999999999137,1.0
2017-03-20,1.0739,1.074,1.0779,1.0725,0.01%,9.999999999998899e-05,0.0
2017-03-21,1.0811,1.074,1.0822,1.072,0.67%,0.007199999999999873,2.0
2017-03-22,1.0797,1.081,1.0827,1.0776,-0.13%,-0.0013999999999998458,0.0
2017-03-23,1.0783,1.0797,1.0807,1.0769,-0.13%,-0.0014000000000000679,0.0
2017-03-24,1.0799,1.0784,1.082,1.0761,0.15%,0.0016000000000000458,0.0
2017-03-27,1.0865,1.0797,1.0905,1.0795,0.61%,0.006599999999999939,2.0
2017-03-28,1.0813,1.0864,1.0873,1.0797,-0.48%,-0.0052000000000000934,1.0
2017-03-29,1.0767,1.0811,1.0827,1.0739,-0.43%,-0.0045999999999999375,1.0
2017-03-30,1.0675,1.0766,1.0772,1.0671,-0.85%,-0.009200000000000097,1.0
2017-03-31,1.0652,1.0675,1.0705,1.0652,-0.22%,-0.0022999999999999687,1.0
2017-04-03,1.0671,1.0661,1.0684,1.0644,0.18%,0.0019000000000000128,0.0
2017-04-04,1.0673,1.0669,1.0678,1.0635,0.02%,0.00019999999999997797,0.0
2017-04-05,1.0663,1.0672,1.069,1.0633,-0.09%,-0.0009999999999998899,0.0
2017-04-06,1.0644,1.0663,1.0686,1.0629,-0.18%,-0.0019000000000000128,0.0
2017-04-07,1.059,1.0644,1.0668,1.058,-0.51%,-0.005400000000000071,1.0
2017-04-10,1.0596,1.0593,1.0609,1.0571,0.06%,0.000600000000000156,0.0
2017-04-11,1.0602,1.0595,1.0631,1.0577,0.06%,0.0005999999999999339,0.0
2017-04-12,1.0666,1.0606,1.0677,1.0589,0.60%,0.006399999999999961,2.0
2017-04-13,1.0614,1.0664,1.0679,1.0609,-0.49%,-0.0052000000000000934,1.0
2017-04-14,1.0612,1.0615,1.0633,1.0606,-0.02%,-0.00019999999999997797,0.0
2017-04-17,1.0644,1.0615,1.0673,1.0604,0.30%,0.0032000000000000917,2.0
2017-04-18,1.0734,1.0644,1.0737,1.0636,0.85%,0.008999999999999897,2.0
2017-04-19,1.0711,1.073,1.0738,1.07,-0.21%,-0.0022999999999999687,1.0
2017-04-20,1.0717,1.0711,1.078,1.0709,0.06%,0.000600000000000156,0.0
2017-04-21,1.0728,1.0719,1.0739,1.0682,0.10%,0.0010999999999998789,0.0
2017-04-24,1.0867,1.089,1.0936,1.0819,1.30%,0.013900000000000023,2.0
2017-04-25,1.0926,1.0868,1.0951,1.0851,0.54%,0.005900000000000016,2.0
2017-04-26,1.0903,1.0924,1.0951,1.0856,-0.21%,-0.0022999999999999687,1.0
2017-04-27,1.0873,1.0903,1.0933,1.0851,-0.28%,-0.0030000000000001137,1.0
2017-04-28,1.0897,1.0877,1.0949,1.0857,0.22%,0.0023999999999999577,2.0
2017-05-01,1.0899,1.0906,1.0924,1.0883,0.02%,0.00020000000000020002,0.0
2017-05-02,1.093,1.0901,1.0936,1.0889,0.28%,0.0030999999999998806,2.0
2017-05-03,1.0885,1.093,1.0939,1.0883,-0.41%,-0.0044999999999999485,1.0
2017-05-04,1.0985,1.0884,1.0987,1.0873,0.92%,0.010000000000000009,2.0
2017-05-05,1.0998,1.0991,1.1003,1.0951,0.12%,0.0013000000000000789,0.0
2017-05-08,1.0924,1.0998,1.1024,1.0917,-0.67%,-0.007400000000000073,1.0
2017-05-09,1.0873,1.0924,1.0934,1.0863,-0.47%,-0.0051000000000001044,1.0
2017-05-10,1.0868,1.0874,1.09,1.0853,-0.05%,-0.0004999999999999449,0.0
2017-05-11,1.0861,1.0869,1.0894,1.0838,-0.06%,-0.0006999999999999229,0.0
2017-05-12,1.0931,1.0863,1.0937,1.0857,0.64%,0.006999999999999895,2.0
2017-05-15,1.0975,1.0926,1.0991,1.0922,0.40%,0.0043999999999999595,2.0
2017-05-16,1.1082,1.0976,1.1098,1.0972,0.97%,0.010700000000000154,2.0
2017-05-17,1.1159,1.1083,1.1163,1.1079,0.69%,0.007699999999999818,2.0
2017-05-18,1.1103,1.116,1.1173,1.1075,-0.50%,-0.005599999999999827,1.0
2017-05-19,1.1207,1.1103,1.1214,1.1097,0.94%,0.010399999999999965,2.0
